wavelength(m), Y
1.50606e-06, 0.847321
1.50707e-06, 0.847224
1.50808e-06, 0.847125
1.50909e-06, 0.847025
1.5101e-06, 0.846925
1.51111e-06, 0.846824
1.51212e-06, 0.846722
1.51313e-06, 0.84662
1.51414e-06, 0.846518
1.51515e-06, 0.846415
1.51616e-06, 0.846313
1.51717e-06, 0.846211
1.51818e-06, 0.846109
1.51919e-06, 0.846007
1.5202e-06, 0.845906
1.52121e-06, 0.845806
1.52222e-06, 0.845707
1.52323e-06, 0.845609
1.52424e-06, 0.845511
1.52525e-06, 0.845415
1.52626e-06, 0.84532
1.52727e-06, 0.845226
1.52828e-06, 0.845133
1.52929e-06, 0.845042
1.5303e-06, 0.844951
1.53131e-06, 0.844862
1.53232e-06, 0.844774
1.53333e-06, 0.844686
1.53434e-06, 0.844599
1.53535e-06, 0.844513
1.53636e-06, 0.844428
1.53737e-06, 0.844343
1.53838e-06, 0.844258
1.53939e-06, 0.844173
1.5404e-06, 0.844088
1.54141e-06, 0.844003
1.54242e-06, 0.843917
1.54343e-06, 0.843831
1.54444e-06, 0.843744
1.54545e-06, 0.843656
1.54646e-06, 0.843567
1.54747e-06, 0.843477
1.54848e-06, 0.843385
1.54949e-06, 0.843292
1.55051e-06, 0.843198
1.55152e-06, 0.843102
1.55253e-06, 0.843004
1.55354e-06, 0.842905
1.55455e-06, 0.842804
1.55556e-06, 0.842701
1.55657e-06, 0.842597
1.55758e-06, 0.842491
1.55859e-06, 0.842383
1.5596e-06, 0.842274
1.56061e-06, 0.842164
1.56162e-06, 0.842052
1.56263e-06, 0.841939
1.56364e-06, 0.841825
1.56465e-06, 0.84171
1.56566e-06, 0.841594
1.56667e-06, 0.841477
1.56768e-06, 0.84136
1.56869e-06, 0.841242
1.5697e-06, 0.841124
1.57071e-06, 0.841006
1.57172e-06, 0.840888
1.57273e-06, 0.84077
1.57374e-06, 0.840653
1.57475e-06, 0.840535
1.57576e-06, 0.840418
1.57677e-06, 0.840302
1.57778e-06, 0.840187
1.57879e-06, 0.840072
1.5798e-06, 0.839958
1.58081e-06, 0.839845
1.58182e-06, 0.839733
1.58283e-06, 0.839621
1.58384e-06, 0.839511
1.58485e-06, 0.839402
1.58586e-06, 0.839293
1.58687e-06, 0.839186
1.58788e-06, 0.839079
1.58889e-06, 0.838974
1.5899e-06, 0.838869
1.59091e-06, 0.838765
1.59192e-06, 0.838661
1.59293e-06, 0.838558
1.59394e-06, 0.838456
1.59495e-06, 0.838354
1.59596e-06, 0.838253
1.59697e-06, 0.838152
1.59798e-06, 0.838051
1.59899e-06, 0.837951
1.6e-06, 0.83785
1.5e-06, 1.00764e-09
1.50101e-06, 1.00877e-09
1.50202e-06, 1.00988e-09
1.50303e-06, 1.01099e-09
1.50404e-06, 1.01213e-09
1.50505e-06, 1.01332e-09
1.50606e-06, 1.01457e-09
1.50707e-06, 1.01589e-09
1.50808e-06, 1.01727e-09
1.50909e-06, 1.01871e-09
1.5101e-06, 1.02017e-09
1.51111e-06, 1.02164e-09
1.51212e-06, 1.02308e-09
1.51313e-06, 1.02448e-09
1.51414e-06, 1.02582e-09
1.51515e-06, 1.02709e-09
1.51616e-06, 1.0283e-09
1.51717e-06, 1.02945e-09
1.51818e-06, 1.03057e-09
1.51919e-06, 1.03165e-09
1.5202e-06, 1.03273e-09
1.52121e-06, 1.03379e-09
1.52222e-06, 1.03485e-09
1.52323e-06, 1.0359e-09
1.52424e-06, 1.03694e-09
1.52525e-06, 1.03795e-09
1.52626e-06, 1.03893e-09
1.52727e-06, 1.03987e-09
1.52828e-06, 1.04079e-09
1.52929e-06, 1.04168e-09
1.5303e-06, 1.04257e-09
1.53131e-06, 1.04346e-09
1.53232e-06, 1.04438e-09
1.53333e-06, 1.04533e-09
1.53434e-06, 1.04633e-09
1.53535e-06, 1.04738e-09
1.53636e-06, 1.04846e-09
1.53737e-06, 1.04958e-09
1.53838e-06, 1.05072e-09
1.53939e-06, 1.05185e-09
1.5404e-06, 1.05298e-09
1.54141e-06, 1.05409e-09
1.54242e-06, 1.05517e-09
1.54343e-06, 1.05624e-09
1.54444e-06, 1.05729e-09
1.54545e-06, 1.05834e-09
1.54646e-06, 1.05941e-09
1.54747e-06, 1.0605e-09
1.54848e-06, 1.06162e-09
1.54949e-06, 1.06278e-09
1.55051e-06, 1.06398e-09
1.55152e-06, 1.06521e-09
1.55253e-06, 1.06645e-09
1.55354e-06, 1.0677e-09
1.55455e-06, 1.06895e-09
1.55556e-06, 1.07018e-09
1.55657e-06, 1.07138e-09
1.55758e-06, 1.07255e-09
1.55859e-06, 1.0737e-09
1.5596e-06, 1.07484e-09
1.56061e-06, 1.07596e-09
1.56162e-06, 1.07709e-09
1.56263e-06, 1.07824e-09
1.56364e-06, 1.07941e-09
1.56465e-06, 1.0806e-09
1.56566e-06, 1.08183e-09
1.56667e-06, 1.0831e-09
1.56768e-06, 1.08439e-09
1.56869e-06, 1.08572e-09
1.5697e-06, 1.08708e-09
1.57071e-06, 1.08848e-09
1.57172e-06, 1.08991e-09
1.57273e-06, 1.09137e-09
1.57374e-06, 1.09288e-09
1.57475e-06, 1.09443e-09
1.57576e-06, 1.09603e-09
1.57677e-06, 1.09768e-09
1.57778e-06, 1.09936e-09
1.57879e-06, 1.10107e-09
1.5798e-06, 1.1028e-09
1.58081e-06, 1.10452e-09
1.58182e-06, 1.10622e-09
1.58283e-06, 1.10788e-09
1.58384e-06, 1.10948e-09
1.58485e-06, 1.11101e-09
1.58586e-06, 1.11245e-09
1.58687e-06, 1.11381e-09
1.58788e-06, 1.11508e-09
1.58889e-06, 1.11628e-09
1.5899e-06, 1.11741e-09
1.59091e-06, 1.11849e-09
1.59192e-06, 1.11954e-09
1.59293e-06, 1.12056e-09
1.59394e-06, 1.12157e-09
1.59495e-06, 1.12259e-09
1.59596e-06, 1.12361e-09
1.59697e-06, 1.12466e-09
1.59798e-06, 1.12573e-09
1.59899e-06, 1.12682e-09
1.6e-06, 1.12794e-09


