

wavelength(nm), Y
1562.58, -41.1006
1562.52, -41.1024
1562.46, -41.1041
1562.4, -41.1058
1562.34, -41.1076
1562.28, -41.1093
1562.22, -41.111
1562.15, -41.1128
1562.09, -41.1145
1562.03, -41.1162
1561.97, -41.118
1561.91, -41.1197
1561.85, -41.1214
1561.79, -41.1232
1561.73, -41.1249
1561.67, -41.1266
1561.61, -41.1284
1561.55, -41.1301
1561.48, -41.1319
1561.42, -41.1336
1561.36, -41.1353
1561.3, -41.1371
1561.24, -41.1388
1561.18, -41.1405
1561.12, -41.1423
1561.06, -41.144
1561, -41.1458
1560.94, -41.1475
1560.88, -41.1492
1560.81, -41.151
1560.75, -41.1527
1560.69, -41.1545
1560.63, -41.1562
1560.57, -41.1579
1560.51, -41.1597
1560.45, -41.1614
1560.39, -41.1632
1560.33, -41.1649
1560.27, -41.1667
1560.21, -41.1684
1560.15, -41.1701
1560.09, -41.1719
1560.02, -41.1736
1559.96, -41.1754
1559.9, -41.1771
1559.84, -41.1789
1559.78, -41.1806
1559.72, -41.1824
1559.66, -41.1841
1559.6, -41.1859
1559.54, -41.1876
1559.48, -41.1894
1559.42, -41.1911
1559.36, -41.1929
1559.3, -41.1946
1559.23, -41.1964
1559.17, -41.1981
1559.11, -41.1999
1559.05, -41.2016
1558.99, -41.2034
1558.93, -41.2051
1558.87, -41.2069
1558.81, -41.2086
1558.75, -41.2104
1558.69, -41.2121
1558.63, -41.2139
1558.57, -41.2156
1558.51, -41.2174
1558.45, -41.2191
1558.39, -41.2139
1558.32, -41.2081
1558.26, -41.2023
1558.2, -41.1965
1558.14, -41.1907
1558.08, -41.1849
1558.02, -41.1791
1557.96, -41.1734
1557.9, -41.1676
1557.84, -41.1618
1557.78, -41.1561
1557.72, -41.1503
1557.66, -41.1446
1557.6, -41.1388
1557.54, -41.1331
1557.48, -41.1273
1557.42, -41.1216
1557.35, -41.1158
1557.29, -41.1101
1557.23, -41.1044
1557.17, -41.0987
1557.11, -41.0929
1557.05, -41.0872
1556.99, -41.0815
1556.93, -41.0758
1556.87, -41.0701
1556.81, -41.0644
1556.75, -41.0587
1556.69, -41.053
1556.63, -41.0473
1556.57, -41.0416
1556.51, -41.0359
1556.45, -41.0303
1556.39, -41.0246
1556.33, -41.0189
1556.27, -41.0133
1556.2, -41.0076
1556.14, -41.0019
1556.08, -40.9963
1556.02, -40.9906
1555.96, -40.985
1555.9, -40.9793
1555.84, -40.9737
1555.78, -40.968
1555.72, -40.9624
1555.66, -40.9568
1555.6, -40.9511
1555.54, -40.9455
1555.48, -40.9399
1555.42, -40.9343
1555.36, -40.9287
1555.3, -40.9231
1555.24, -40.9175
1555.18, -40.9119
1555.12, -40.9063
1555.06, -40.9007
1555, -40.8951
1554.94, -40.8895
1554.88, -40.8839
1554.81, -40.8783
1554.75, -40.8727
1554.69, -40.8672
1554.63, -40.8616
1554.57, -40.856
1554.51, -40.8505
1554.45, -40.8449
1554.39, -40.8394
1554.33, -40.8338
1554.27, -40.8283
1554.21, -40.8227
1554.15, -40.8172
1554.09, -40.8116
1554.03, -40.8061
1553.97, -40.8006
1553.91, -40.795
1553.85, -40.7895
1553.79, -40.784
1553.73, -40.7785
1553.67, -40.773
1553.61, -40.7675
1553.55, -40.762
1553.49, -40.7565
1553.43, -40.751
1553.37, -40.7407
1553.31, -40.726
1553.25, -40.7113
1553.19, -40.6966
1553.13, -40.682
1553.07, -40.6673
1553.01, -40.6527
1552.95, -40.6381
1552.89, -40.6236
1552.83, -40.6091
1552.76, -40.5945
1552.7, -40.5801
1552.64, -40.5656
1552.58, -40.5512
1552.52, -40.5368
1552.46, -40.5224
1552.4, -40.508
1552.34, -40.4937
1552.28, -40.4793
1552.22, -40.465
1552.16, -40.4508
1552.1, -40.4365
1552.04, -40.4223
1551.98, -40.4081
1551.92, -40.3939
1551.86, -40.3798
1551.8, -40.3656
1551.74, -40.3515
1551.68, -40.3375
1551.62, -40.3234
1551.56, -40.3094
1551.5, -40.2953
1551.44, -40.2813
1551.38, -40.2674
1551.32, -40.2534
1551.26, -40.2395
1551.2, -40.2256
1551.14, -40.2117
1551.08, -40.1978
1551.02, -40.184
1550.96, -40.1702
1550.9, -40.1564
1550.84, -40.1426
1550.78, -40.1289
1550.72, -40.1151
1550.66, -40.1014
1550.6, -40.0878
1550.54, -40.0741
1550.48, -40.0604
1550.42, -40.0468
1550.36, -40.0332
1550.3, -40.0196
1550.24, -40.0061
1550.18, -39.9926
1550.12, -39.979
1550.06, -39.9655
1550, -39.9521
1549.94, -39.9386
1549.88, -39.9252
1549.82, -39.9118
1549.76, -39.8984
1549.7, -39.885
1549.64, -39.8717
1549.58, -39.8583
1549.52, -39.845
1549.46, -39.8317
1549.4, -39.8185
1549.34, -39.8052
1549.28, -39.792
1549.22, -39.7788
1549.16, -39.7656
1549.1, -39.7524
1549.04, -39.7393
1548.98, -39.7262
1548.92, -39.7131
1548.86, -39.7
1548.8, -39.6869
1548.74, -39.6739
1548.68, -39.6608
1548.62, -39.6478
1548.56, -39.6348
1548.5, -39.6173
1548.44, -39.5976
1548.38, -39.5779
1548.32, -39.5578
1548.26, -39.5377
1548.2, -39.5173
1548.14, -39.4963
1548.08, -39.4755
1548.02, -39.4546
1547.96, -39.4339
1547.9, -39.4131
1547.84, -39.3925
1547.78, -39.3718
1547.72, -39.3512
1547.66, -39.3307
1547.6, -39.3102
1547.54, -39.2898
1547.48, -39.2694
1547.42, -39.2491
1547.36, -39.2288
1547.3, -39.2086
1547.24, -39.1884
1547.19, -39.1682
1547.13, -39.1481
1547.07, -39.1281
1547.01, -39.108
1546.95, -39.0881
1546.89, -39.0682
1546.83, -39.0483
1546.77, -39.0285
1546.71, -39.0087
1546.65, -38.989
1546.59, -38.9693
1546.53, -38.9496
1546.47, -38.93
1546.41, -38.9105
1546.35, -38.8909
1546.29, -38.8715
1546.23, -38.852
1546.17, -38.8327
1546.11, -38.8133
1546.05, -38.794
1545.99, -38.7748
1545.93, -38.7556
1545.87, -38.7364
1545.81, -38.7173
1545.75, -38.6982
1545.69, -38.6791
1545.63, -38.6601
1545.57, -38.6412
1545.51, -38.6222
1545.45, -38.6034
1545.39, -38.5845
1545.33, -38.5657
1545.27, -38.547
1545.21, -38.5283
1545.16, -38.5096
1545.1, -38.491
1545.04, -38.4724
1544.98, -38.4538
1544.92, -38.4353
1544.86, -38.4168
1544.8, -38.3984
1544.74, -38.38
1544.68, -38.3616
1544.62, -38.3433
1544.56, -38.325
1544.5, -38.3068
1544.44, -38.2886
1544.38, -38.2704
1544.32, -38.2523
1544.26, -38.2342
1544.2, -38.2161
1544.14, -38.1981
1544.08, -38.1801
1544.02, -38.1622
1543.96, -38.1443
1543.9, -38.1264
1543.84, -38.1086
1543.79, -38.0908
1543.73, -38.073
1543.67, -38.0553
1543.61, -38.0376
1543.55, -38.02
1543.49, -38.0023
1543.43, -37.9848
1543.37, -37.9644
1543.31, -37.9426
1543.25, -37.9209
1543.19, -37.8993
1543.13, -37.8777
1543.07, -37.8562
1543.01, -37.8347
1542.95, -37.8133
1542.89, -37.7919
1542.83, -37.7706
1542.77, -37.7493
1542.71, -37.7281
1542.65, -37.707
1542.6, -37.6859
1542.54, -37.6648
1542.48, -37.6438
1542.42, -37.6228
1542.36, -37.6019
1542.3, -37.5811
1542.24, -37.5603
1542.18, -37.5395
1542.12, -37.5188
1542.06, -37.4981
1542, -37.4775
1541.94, -37.457
1541.88, -37.4365
1541.82, -37.416
1541.76, -37.3956
1541.7, -37.3752
1541.65, -37.3549
1541.59, -37.3346
1541.53, -37.3144
1541.47, -37.2942
1541.41, -37.2741
1541.35, -37.254
1541.29, -37.234
1541.23, -37.214
1541.17, -37.194
1541.11, -37.1741
1541.05, -37.1543
1540.99, -37.1345
1540.93, -37.1147
1540.87, -37.095
1540.81, -37.0753
1540.76, -37.0557
1540.7, -37.0361
1540.64, -37.0165
1540.58, -36.997
1540.52, -36.9776
1540.46, -36.9582
1540.4, -36.9388
1540.34, -36.9195
1540.28, -36.9002
1540.22, -36.881
1540.16, -36.8618
1540.1, -36.8426
1540.04, -36.8235
1539.99, -36.8044
1539.93, -36.7854
1539.87, -36.7664
1539.81, -36.7475
1539.75, -36.7286
1539.69, -36.7097
1539.63, -36.6909
1539.57, -36.6721
1539.51, -36.6534
1539.45, -36.6347
1539.39, -36.616
1539.33, -36.5974
1539.27, -36.5788
1539.22, -36.5603
1539.16, -36.5417
1539.1, -36.5233
1539.04, -36.5049
1538.98, -36.4865
1538.92, -36.4681
1538.86, -36.4498
1538.8, -36.4316
1538.74, -36.4133
1538.68, -36.3951
1538.62, -36.377
1538.56, -36.3589
1538.51, -36.3408
1538.45, -36.3224
1538.39, -36.3028
1538.33, -36.2833
1538.27, -36.2639
1538.21, -36.2445
1538.15, -36.2251
1538.09, -36.2058
1538.03, -36.1865
1537.97, -36.1673
1537.91, -36.1481
1537.86, -36.1289
1537.8, -36.1098
1537.74, -36.0907
1537.68, -36.0717
1537.62, -36.0527
1537.56, -36.0338
1537.5, -36.0149
1537.44, -35.996
1537.38, -35.9772
1537.32, -35.9584
1537.27, -35.9397
1537.21, -35.921
1537.15, -35.9023
1537.09, -35.8837
1537.03, -35.8651
1536.97, -35.8466
1536.91, -35.8281
1536.85, -35.8096
1536.79, -35.7912
1536.73, -35.7728
1536.68, -35.7545
1536.62, -35.7362
1536.56, -35.7179
1536.5, -35.6997
1536.44, -35.6815
1536.38, -35.6633
1536.32, -35.6452
1536.26, -35.6272
1536.2, -35.6091
1536.14, -35.5911
1536.09, -35.5732
1536.03, -35.5552
1535.97, -35.5373
1535.91, -35.5195
1535.85, -35.5017
1535.79, -35.4839
1535.73, -35.4661
1535.67, -35.4484
1535.61, -35.4308
1535.56, -35.4131
1535.5, -35.3955
1535.44, -35.378
1535.38, -35.3604
1535.32, -35.3429
1535.26, -35.3255
1535.2, -35.3081
1535.14, -35.2907
1535.08, -35.2733
1535.03, -35.256
1534.97, -35.2387
1534.91, -35.2215
1534.85, -35.2043
1534.79, -35.1871
1534.73, -35.1699
1534.67, -35.1528
1534.61, -35.1357
1534.56, -35.1187
1534.5, -35.1017
1534.44, -35.0847
1534.38, -35.0677
1534.32, -35.0508
1534.26, -35.0339
1534.2, -35.0171
1534.14, -35.0003
1534.09, -34.9835
1534.03, -34.9667
1533.97, -34.95
1533.91, -34.9333
1533.85, -34.9167
1533.79, -34.9001
1533.73, -34.8835
1533.67, -34.8669
1533.62, -34.8504
1533.56, -34.8339
1533.5, -34.8164
1533.44, -34.7987
1533.38, -34.7811
1533.32, -34.7635
1533.26, -34.746
1533.2, -34.7284
1533.15, -34.711
1533.09, -34.6935
1533.03, -34.6761
1532.97, -34.6587
1532.91, -34.6414
1532.85, -34.6241
1532.79, -34.6068
1532.73, -34.5896
1532.68, -34.5723
1532.62, -34.5552
1532.56, -34.538
1532.5, -34.5209
1532.44, -34.5039
1532.38, -34.4868
1532.32, -34.4698
1532.27, -34.4528
1532.21, -34.4359
1532.15, -34.419
1532.09, -34.4021
1532.03, -34.3853
1531.97, -34.3685
1531.91, -34.3517
1531.85, -34.335
1531.8, -34.3183
1531.74, -34.3016
1531.68, -34.2849
1531.62, -34.2683
1531.56, -34.2517
1531.5, -34.2352
1531.44, -34.2187
1531.39, -34.2022
1531.33, -34.1857
1531.27, -34.1693
1531.21, -34.1529
1531.15, -34.1365
1531.09, -34.1202
1531.03, -34.1039
1530.98, -34.0876
1530.92, -34.0714
1530.86, -34.0552
1530.8, -34.039
1530.74, -34.0228
1530.68, -34.0067
1530.63, -33.9906
1530.57, -33.9746
1530.51, -33.9585
1530.45, -33.9425
1530.39, -33.9266
1530.33, -33.9106
1530.27, -33.8947
1530.22, -33.8788
