wavelength(nm), Y
1571.29, -3.72315
1571.19, -3.71935
1571.08, -3.71556
1570.98, -3.71177
1570.88, -3.70799
1570.77, -3.7042
1570.67, -3.70042
1570.57, -3.69664
1570.47, -3.69285
1570.36, -3.68908
1570.26, -3.6853
1570.16, -3.68152
1570.06, -3.67775
1569.95, -3.67398
1569.85, -3.67021
1569.75, -3.66644
1569.65, -3.66267
1569.54, -3.6589
1569.44, -3.65514
1569.34, -3.65138
1569.24, -3.64762
1569.13, -3.64386
1569.03, -3.6401
1568.93, -3.63634
1568.83, -3.63259
1568.72, -3.62884
1568.62, -3.62509
1568.52, -3.62151
1568.42, -3.61792
1568.31, -3.61433
1568.21, -3.61075
1568.11, -3.60716
1568.01, -3.60358
1567.9, -3.6
1567.8, -3.59642
1567.7, -3.59285
1567.6, -3.58927
1567.5, -3.5857
1567.39, -3.58213
1567.29, -3.57855
1567.19, -3.57499
1567.09, -3.57142
1566.98, -3.56785
1566.88, -3.56428
1566.78, -3.56072
1566.68, -3.55716
1566.58, -3.5536
1566.47, -3.55004
1566.37, -3.54648
1566.27, -3.54292
1566.17, -3.53937
1566.06, -3.53582
1565.96, -3.53226
1565.86, -3.52871
1565.76, -3.52516
1565.66, -3.52162
1565.55, -3.51807
1565.45, -3.51452
1565.35, -3.51098
1565.25, -3.50744
1565.15, -3.5039
1565.04, -3.50036
1564.94, -3.49682
1564.84, -3.49329
1564.74, -3.48975
1564.64, -3.48622
1564.54, -3.48269
1564.43, -3.47916
1564.33, -3.47563
1564.23, -3.4721
1564.13, -3.46857
1564.03, -3.46505
1563.92, -3.46152
1563.82, -3.458
1563.72, -3.45448
1563.62, -3.45096
1563.52, -3.44745
1563.42, -3.44407
1563.31, -3.44069
1563.21, -3.43732
1563.11, -3.43394
1563.01, -3.43057
1562.91, -3.4272
1562.8, -3.42382
1562.7, -3.42045
1562.6, -3.41709
1562.5, -3.41372
1562.4, -3.41035
1562.3, -3.40699
1562.2, -3.40363
1562.09, -3.40027
1561.99, -3.39691
1561.89, -3.39355
1561.79, -3.39019
1561.69, -3.38683
1561.59, -3.38348
1561.48, -3.38012
1561.38, -3.37677
1561.28, -3.37342
1561.18, -3.37007
1561.08, -3.36672
1560.98, -3.36337
1560.88, -3.36003
1560.77, -3.35668
1560.67, -3.35334
1560.57, -3.35
1560.47, -3.34666
1560.37, -3.34332
1560.27, -3.33998
1560.17, -3.33664
1560.06, -3.33331
1559.96, -3.32997
1559.86, -3.32664
1559.76, -3.32331
1559.66, -3.31997
1559.56, -3.31665
1559.46, -3.31332
1559.36, -3.30999
1559.25, -3.30666
1559.15, -3.30334
1559.05, -3.30002
1558.95, -3.2967
1558.85, -3.29338
1558.75, -3.29006
1558.65, -3.28674
1558.55, -3.28342
1558.45, -3.28011
1558.34, -3.27691
1558.24, -3.27371
1558.14, -3.27052
1558.04, -3.26732
1557.94, -3.26413
1557.84, -3.26094
1557.74, -3.25775
1557.64, -3.25457
1557.54, -3.25138
1557.44, -3.24819
1557.33, -3.24501
1557.23, -3.24183
1557.13, -3.23864
1557.03, -3.23546
1556.93, -3.23228
1556.83, -3.22911
1556.73, -3.22593
1556.63, -3.22275
1556.53, -3.21958
1556.43, -3.2164
1556.33, -3.21323
1556.22, -3.21006
1556.12, -3.20689
1556.02, -3.20372
1555.92, -3.20055
1555.82, -3.19738
1555.72, -3.19422
1555.62, -3.19105
1555.52, -3.18789
1555.42, -3.18473
1555.32, -3.18157
1555.22, -3.17841
1555.12, -3.17525
1555.02, -3.17209
1554.92, -3.16893
1554.81, -3.16578
1554.71, -3.16262
1554.61, -3.15947
1554.51, -3.15632
1554.41, -3.15317
1554.31, -3.15002
1554.21, -3.14687
1554.11, -3.14372
1554.01, -3.14058
1553.91, -3.13743
1553.81, -3.13429
1553.71, -3.13115
1553.61, -3.128
1553.51, -3.12486
1553.41, -3.12172
1553.31, -3.11867
1553.21, -3.11563
1553.11, -3.11259
1553.01, -3.10955
1552.91, -3.10651
1552.81, -3.10347
1552.7, -3.10044
1552.6, -3.0974
1552.5, -3.09437
1552.4, -3.09134
1552.3, -3.0883
1552.2, -3.08527
1552.1, -3.08224
1552, -3.07921
1551.9, -3.07619
1551.8, -3.07316
1551.7, -3.07013
1551.6, -3.06711
1551.5, -3.06408
1551.4, -3.06106
1551.3, -3.05804
1551.2, -3.05502
1551.1, -3.052
1551, -3.04898
1550.9, -3.04597
1550.8, -3.04295
1550.7, -3.03993
1550.6, -3.03692
1550.5, -3.03391
1550.4, -3.03089
1550.3, -3.02788
1550.2, -3.02487
1550.1, -3.02186
1550, -3.01886
1549.9, -3.01585
1549.8, -3.01284
1549.7, -3.00984
1549.6, -3.00683
1549.5, -3.00383
1549.4, -3.00083
1549.3, -2.99783
1549.2, -2.99483
1549.1, -2.99183
1549, -2.98883
1548.9, -2.98584
1548.8, -2.98284
1548.7, -2.97985
1548.6, -2.97685
1548.5, -2.97388
1548.4, -2.97094
1548.3, -2.968
1548.2, -2.96508
1548.1, -2.9622
1548, -2.95932
1547.9, -2.95644
1547.8, -2.95357
1547.7, -2.95069
1547.6, -2.94782
1547.5, -2.94494
1547.4, -2.94207
1547.3, -2.9392
1547.21, -2.93633
1547.11, -2.93346
1547.01, -2.93059
1546.91, -2.92772
1546.81, -2.92486
1546.71, -2.92199
1546.61, -2.91912
1546.51, -2.91626
1546.41, -2.9134
1546.31, -2.91053
1546.21, -2.90767
1546.11, -2.90481
1546.01, -2.90195
1545.91, -2.8991
1545.81, -2.89624
1545.71, -2.89338
1545.61, -2.89053
1545.51, -2.88767
1545.41, -2.88482
1545.31, -2.88196
1545.21, -2.87911
1545.12, -2.87626
1545.02, -2.87341
1544.92, -2.87056
1544.82, -2.86771
1544.72, -2.86487
1544.62, -2.86202
1544.52, -2.85917
1544.42, -2.85633
1544.32, -2.85349
1544.22, -2.85064
1544.12, -2.8478
1544.02, -2.84496
1543.92, -2.84212
1543.82, -2.83928
1543.73, -2.83645
1543.63, -2.83361
1543.53, -2.83077
1543.43, -2.82794
1543.33, -2.82521
1543.23, -2.8225
1543.13, -2.8198
1543.03, -2.81709
1542.93, -2.81439
1542.83, -2.81169
1542.73, -2.80899
1542.64, -2.80628
1542.54, -2.80359
1542.44, -2.80089
1542.34, -2.79819
1542.24, -2.79549
1542.14, -2.7928
1542.04, -2.7901
1541.94, -2.78741
1541.84, -2.78471
1541.74, -2.78202
1541.65, -2.77933
1541.55, -2.77664
1541.45, -2.77394
1541.35, -2.77126
1541.25, -2.76857
1541.15, -2.76588
1541.05, -2.76319
1540.95, -2.76051
1540.85, -2.75782
1540.76, -2.75514
1540.66, -2.75245
1540.56, -2.74977
1540.46, -2.74709
1540.36, -2.74441
1540.26, -2.74173
1540.16, -2.73905
1540.06, -2.73637
1539.97, -2.73369
1539.87, -2.73101
1539.77, -2.72834
1539.67, -2.72566
1539.57, -2.72299
1539.47, -2.72031
1539.37, -2.71764
1539.27, -2.71497
1539.18, -2.71229
1539.08, -2.70962
1538.98, -2.70695
1538.88, -2.70429
1538.78, -2.70162
1538.68, -2.69895
1538.58, -2.69628
1538.49, -2.69362
1538.39, -2.69104
1538.29, -2.68849
1538.19, -2.68594
1538.09, -2.6834
1537.99, -2.68085
1537.9, -2.6783
1537.8, -2.67576
1537.7, -2.67321
1537.6, -2.67067
1537.5, -2.66813
1537.4, -2.66559
1537.3, -2.66304
1537.21, -2.6605
1537.11, -2.65796
1537.01, -2.65543
1536.91, -2.65289
1536.81, -2.65035
1536.71, -2.64781
1536.62, -2.64528
1536.52, -2.64274
1536.42, -2.64021
1536.32, -2.63767
1536.22, -2.63514
1536.13, -2.63261
1536.03, -2.63008
1535.93, -2.62754
1535.83, -2.62501
1535.73, -2.62249
1535.63, -2.61996
1535.54, -2.61743
1535.44, -2.6149
1535.34, -2.61237
1535.24, -2.60985
1535.14, -2.60732
1535.05, -2.6048
1534.95, -2.60228
1534.85, -2.59975
1534.75, -2.59723
1534.65, -2.59471
1534.56, -2.59219
1534.46, -2.58967
1534.36, -2.58715
1534.26, -2.58463
1534.16, -2.58211
1534.07, -2.5796
1533.97, -2.57708
1533.87, -2.57457
1533.77, -2.57205
1533.67, -2.56954
1533.58, -2.56702
1533.48, -2.56459
1533.38, -2.56218
1533.28, -2.55978
1533.18, -2.55738
1533.09, -2.55498
1532.99, -2.55258
1532.89, -2.55018
1532.79, -2.54778
1532.7, -2.54538
1532.6, -2.54298
1532.5, -2.54058
1532.4, -2.53819
1532.3, -2.53579
1532.21, -2.53339
1532.11, -2.531
