wavelength(nm), Y
1571.29, -4.76033
1571.19, -4.75201
1571.08, -4.74369
1570.98, -4.73538
1570.88, -4.72708
1570.77, -4.71879
1570.67, -4.71051
1570.57, -4.70223
1570.47, -4.69396
1570.36, -4.6857
1570.26, -4.67745
1570.16, -4.66921
1570.06, -4.66097
1569.95, -4.65274
1569.85, -4.64452
1569.75, -4.63631
1569.65, -4.6281
1569.54, -4.6199
1569.44, -4.61171
1569.34, -4.60353
1569.24, -4.59535
1569.13, -4.58719
1569.03, -4.57903
1568.93, -4.57088
1568.83, -4.56273
1568.72, -4.5546
1568.62, -4.54646
1568.52, -4.53824
1568.42, -4.53002
1568.31, -4.52181
1568.21, -4.51361
1568.11, -4.50542
1568.01, -4.49724
1567.9, -4.48906
1567.8, -4.48089
1567.7, -4.47273
1567.6, -4.46457
1567.5, -4.45643
1567.39, -4.44829
1567.29, -4.44016
1567.19, -4.43203
1567.09, -4.42392
1566.98, -4.41581
1566.88, -4.40771
1566.78, -4.39962
1566.68, -4.39153
1566.58, -4.38345
1566.47, -4.37538
1566.37, -4.36732
1566.27, -4.35926
1566.17, -4.35121
1566.06, -4.34317
1565.96, -4.33514
1565.86, -4.32712
1565.76, -4.3191
1565.66, -4.31109
1565.55, -4.30308
1565.45, -4.29509
1565.35, -4.2871
1565.25, -4.27911
1565.15, -4.27114
1565.04, -4.26317
1564.94, -4.25521
1564.84, -4.24726
1564.74, -4.23932
1564.64, -4.23138
1564.54, -4.22345
1564.43, -4.21552
1564.33, -4.20761
1564.23, -4.1997
1564.13, -4.1918
1564.03, -4.1839
1563.92, -4.17602
1563.82, -4.16814
1563.72, -4.16026
1563.62, -4.1524
1563.52, -4.14454
1563.42, -4.13663
1563.31, -4.12874
1563.21, -4.12085
1563.11, -4.11297
1563.01, -4.10509
1562.91, -4.09723
1562.8, -4.08937
1562.7, -4.08151
1562.6, -4.07367
1562.5, -4.06583
1562.4, -4.058
1562.3, -4.05017
1562.2, -4.04236
1562.09, -4.03455
1561.99, -4.02674
1561.89, -4.01895
1561.79, -4.01116
1561.69, -4.00337
1561.59, -3.9956
1561.48, -3.98783
1561.38, -3.98007
1561.28, -3.97231
1561.18, -3.96457
1561.08, -3.95683
1560.98, -3.94909
1560.88, -3.94136
1560.77, -3.93364
1560.67, -3.92593
1560.57, -3.91822
1560.47, -3.91052
1560.37, -3.90283
1560.27, -3.89515
1560.17, -3.88747
1560.06, -3.87979
1559.96, -3.87213
1559.86, -3.86447
1559.76, -3.85682
1559.66, -3.84917
1559.56, -3.84153
1559.46, -3.8339
1559.36, -3.82628
1559.25, -3.81866
1559.15, -3.81105
1559.05, -3.80344
1558.95, -3.79584
1558.85, -3.78825
1558.75, -3.78066
1558.65, -3.77309
1558.55, -3.76551
1558.45, -3.75795
1558.34, -3.75043
1558.24, -3.74292
1558.14, -3.73542
1558.04, -3.72792
1557.94, -3.72044
1557.84, -3.71295
1557.74, -3.70548
1557.64, -3.69801
1557.54, -3.69054
1557.44, -3.68309
1557.33, -3.67564
1557.23, -3.66819
1557.13, -3.66075
1557.03, -3.65332
1556.93, -3.6459
1556.83, -3.63848
1556.73, -3.63107
1556.63, -3.62366
1556.53, -3.61626
1556.43, -3.60887
1556.33, -3.60148
1556.22, -3.5941
1556.12, -3.58672
1556.02, -3.57935
1555.92, -3.57199
1555.82, -3.56464
1555.72, -3.55729
1555.62, -3.54994
1555.52, -3.54261
1555.42, -3.53527
1555.32, -3.52795
1555.22, -3.52063
1555.12, -3.51332
1555.02, -3.50601
1554.92, -3.49871
1554.81, -3.49142
1554.71, -3.48413
1554.61, -3.47685
1554.51, -3.46957
1554.41, -3.4623
1554.31, -3.45504
1554.21, -3.44778
1554.11, -3.44053
1554.01, -3.43328
1553.91, -3.42604
1553.81, -3.41881
1553.71, -3.41158
1553.61, -3.40436
1553.51, -3.39715
1553.41, -3.38994
1553.31, -3.38278
1553.21, -3.37563
1553.11, -3.36849
1553.01, -3.36135
1552.91, -3.35422
1552.81, -3.3471
1552.7, -3.33998
1552.6, -3.33287
1552.5, -3.32576
1552.4, -3.31866
1552.3, -3.31156
1552.2, -3.30447
1552.1, -3.29739
1552, -3.29031
1551.9, -3.28324
1551.8, -3.27617
1551.7, -3.26911
1551.6, -3.26206
1551.5, -3.25501
1551.4, -3.24797
1551.3, -3.24093
1551.2, -3.2339
1551.1, -3.22687
1551, -3.21985
1550.9, -3.21283
1550.8, -3.20582
1550.7, -3.19882
1550.6, -3.19182
1550.5, -3.18483
1550.4, -3.17784
1550.3, -3.17086
1550.2, -3.16389
1550.1, -3.15692
1550, -3.14995
1549.9, -3.14299
1549.8, -3.13604
1549.7, -3.12909
1549.6, -3.12215
1549.5, -3.11521
1549.4, -3.10828
1549.3, -3.10136
1549.2, -3.09444
1549.1, -3.08752
1549, -3.08061
1548.9, -3.07371
1548.8, -3.06681
1548.7, -3.05992
1548.6, -3.05303
1548.5, -3.04616
1548.4, -3.03932
1548.3, -3.03249
1548.2, -3.02568
1548.1, -3.01892
