wavelength(nm), Y
1571.29, -3.54249
1571.19, -3.5426
1571.08, -3.5427
1570.98, -3.5428
1570.88, -3.5429
1570.77, -3.54301
1570.67, -3.54311
1570.57, -3.54321
1570.47, -3.54331
1570.36, -3.54342
1570.26, -3.54352
1570.16, -3.54362
1570.06, -3.54373
1569.95, -3.54384
1569.85, -3.54395
1569.75, -3.54406
1569.65, -3.54417
1569.54, -3.54428
1569.44, -3.54439
1569.34, -3.5445
1569.24, -3.54461
1569.13, -3.54472
1569.03, -3.54483
1568.93, -3.54494
1568.83, -3.54505
1568.72, -3.54516
1568.62, -3.54527
1568.52, -3.54538
1568.42, -3.54549
1568.31, -3.5456
1568.21, -3.54571
1568.11, -3.54582
1568.01, -3.54593
1567.9, -3.54604
1567.8, -3.54616
1567.7, -3.54628
1567.6, -3.54639
1567.5, -3.54651
1567.39, -3.54663
1567.29, -3.54675
1567.19, -3.54686
1567.09, -3.54698
1566.98, -3.5471
1566.88, -3.54722
1566.78, -3.54733
1566.68, -3.54745
1566.58, -3.54757
1566.47, -3.54769
1566.37, -3.5478
1566.27, -3.54792
1566.17, -3.54804
1566.06, -3.54815
1565.96, -3.54827
1565.86, -3.54839
1565.76, -3.54852
1565.66, -3.54865
1565.55, -3.54877
1565.45, -3.5489
1565.35, -3.54903
1565.25, -3.54915
1565.15, -3.54928
1565.04, -3.54941
1564.94, -3.54953
1564.84, -3.54966
1564.74, -3.54979
1564.64, -3.54991
1564.54, -3.55004
1564.43, -3.55016
1564.33, -3.55029
1564.23, -3.55042
1564.13, -3.55054
1564.03, -3.55067
1563.92, -3.5508
1563.82, -3.55092
1563.72, -3.55106
1563.62, -3.5512
1563.52, -3.55134
1563.42, -3.55148
1563.31, -3.55162
1563.21, -3.55176
1563.11, -3.55189
1563.01, -3.55203
1562.91, -3.55217
1562.8, -3.55231
1562.7, -3.55245
1562.6, -3.55259
1562.5, -3.55272
1562.4, -3.55286
1562.3, -3.553
1562.2, -3.55314
1562.09, -3.55328
1561.99, -3.55342
1561.89, -3.55356
1561.79, -3.55369
1561.69, -3.55384
1561.59, -3.554
1561.48, -3.55415
1561.38, -3.5543
1561.28, -3.55446
1561.18, -3.55461
1561.08, -3.55476
1560.98, -3.55492
1560.88, -3.55507
1560.77, -3.55522
1560.67, -3.55538
1560.57, -3.55553
1560.47, -3.55568
1560.37, -3.55584
1560.27, -3.55599
1560.17, -3.55615
1560.06, -3.5563
1559.96, -3.55645
1559.86, -3.55661
1559.76, -3.55676
1559.66, -3.55692
1559.56, -3.55709
1559.46, -3.55726
1559.36, -3.55743
1559.25, -3.5576
1559.15, -3.55777
1559.05, -3.55794
1558.95, -3.55812
1558.85, -3.55829
1558.75, -3.55846
1558.65, -3.55863
1558.55, -3.5588
1558.45, -3.55897
1558.34, -3.55914
1558.24, -3.55931
1558.14, -3.55948
1558.04, -3.55966
1557.94, -3.55983
1557.84, -3.56
1557.74, -3.56017
1557.64, -3.56034
1557.54, -3.56053
1557.44, -3.56072
1557.33, -3.56091
1557.23, -3.56109
1557.13, -3.56128
1557.03, -3.56147
1556.93, -3.56166
1556.83, -3.56185
1556.73, -3.56204
1556.63, -3.56223
1556.53, -3.56242
1556.43, -3.56261
1556.33, -3.5628
1556.22, -3.56299
1556.12, -3.56318
1556.02, -3.56337
1555.92, -3.56356
1555.82, -3.56375
1555.72, -3.56394
1555.62, -3.56413
1555.52, -3.56433
1555.42, -3.56453
1555.32, -3.56474
1555.22, -3.56495
1555.12, -3.56515
1555.02, -3.56536
1554.92, -3.56557
1554.81, -3.56578
1554.71, -3.56598
