lambda(m), Y
1.52324e-06, 0.239056
1.52292e-06, 0.236058
1.5226e-06, 0.23307
1.52227e-06, 0.230093
1.52195e-06, 0.227128
1.52163e-06, 0.224176
1.52131e-06, 0.221237
1.52098e-06, 0.218313
1.52066e-06, 0.215403
1.52034e-06, 0.21251
1.52002e-06, 0.209634
1.5197e-06, 0.206775
1.51937e-06, 0.203934
1.51905e-06, 0.201112
1.51873e-06, 0.19831
1.51841e-06, 0.195528
1.51809e-06, 0.192767
1.51777e-06, 0.190027
1.51745e-06, 0.18731
1.51712e-06, 0.184615
1.5168e-06, 0.181943
1.51648e-06, 0.179295
1.51616e-06, 0.176671
1.51584e-06, 0.174071
1.51552e-06, 0.171497
1.5152e-06, 0.168948
1.51488e-06, 0.166425
1.51456e-06, 0.163928
1.51424e-06, 0.161458
1.51392e-06, 0.159014
1.5136e-06, 0.156598
1.51329e-06, 0.154209
1.51297e-06, 0.151848
1.51265e-06, 0.149515
1.51233e-06, 0.14721
1.51201e-06, 0.144934
1.51169e-06, 0.142686
1.51137e-06, 0.140467
1.51105e-06, 0.138276
1.51074e-06, 0.136115
1.51042e-06, 0.133982
1.5101e-06, 0.131879
1.50978e-06, 0.129804
1.50947e-06, 0.127759
1.50915e-06, 0.125744
1.50883e-06, 0.123757
1.50851e-06, 0.121799
1.5082e-06, 0.119871
1.50788e-06, 0.117972
1.50756e-06, 0.116102
1.50725e-06, 0.11426
1.50693e-06, 0.112448
1.50661e-06, 0.110664
1.5063e-06, 0.108909
1.50598e-06, 0.107182
1.50567e-06, 0.105484
1.50535e-06, 0.103814
1.50503e-06, 0.102171
1.50472e-06, 0.100557
1.5044e-06, 0.0989695
1.50409e-06, 0.0974097
1.50377e-06, 0.095877
1.50346e-06, 0.0943711
1.50314e-06, 0.0928918
1.50283e-06, 0.0914388
1.50251e-06, 0.0900119
1.5022e-06, 0.0886108
1.50188e-06, 0.0872352
1.50157e-06, 0.0858848
1.50126e-06, 0.0845592
1.50094e-06, 0.0832583
1.50063e-06, 0.0819816
1.50031e-06, 0.0807289
1.5e-06, 0.0794998


