lambda(m), Y
1.52292e-06, 0.178168
1.5226e-06, 0.175434
1.52227e-06, 0.17273
1.52195e-06, 0.170057
1.52163e-06, 0.167413
1.52131e-06, 0.164801
1.52098e-06, 0.16222
1.52066e-06, 0.159671
1.52034e-06, 0.157153
1.52002e-06, 0.154667
1.5197e-06, 0.152214
1.51937e-06, 0.149793
1.51905e-06, 0.147405
1.51873e-06, 0.14505
1.51841e-06, 0.142727
1.51809e-06, 0.140438
1.51777e-06, 0.138181
1.51745e-06, 0.135958
1.51712e-06, 0.133768
1.5168e-06, 0.131611
1.51648e-06, 0.129487
1.51616e-06, 0.127397
1.51584e-06, 0.125339
1.51552e-06, 0.123315
1.5152e-06, 0.121323
1.51488e-06, 0.119365
1.51456e-06, 0.117439
1.51424e-06, 0.115545
1.51392e-06, 0.113684
1.5136e-06, 0.111855
1.51329e-06, 0.110058
1.51297e-06, 0.108293
1.51265e-06, 0.106559
1.51233e-06, 0.104857
1.51201e-06, 0.103185
1.51169e-06, 0.101545
1.51137e-06, 0.0999345
1.51105e-06, 0.0983544
1.51074e-06, 0.0968042
1.51042e-06, 0.0952834
1.5101e-06, 0.0937918
1.50978e-06, 0.0923291
1.50947e-06, 0.0908948
1.50915e-06, 0.0894886
1.50883e-06, 0.0881101
1.50851e-06, 0.0867589
1.5082e-06, 0.0854347
1.50788e-06, 0.0841371
1.50756e-06, 0.0828656
1.50725e-06, 0.0816199
1.50693e-06, 0.0803995
1.50661e-06, 0.079204
1.5063e-06, 0.078033
1.50598e-06, 0.076886
1.50567e-06, 0.0757627
1.50535e-06, 0.0746625
1.50503e-06, 0.0735852
1.50472e-06, 0.0725301
1.5044e-06, 0.071497
1.50409e-06, 0.0704852
1.50377e-06, 0.0694945
1.50346e-06, 0.0685244
1.50314e-06, 0.0675744
1.50283e-06, 0.0666441
1.50251e-06, 0.065733
1.5022e-06, 0.0648407
1.50188e-06, 0.0639669
1.50157e-06, 0.0631109
1.50126e-06, 0.0622725
1.50094e-06, 0.0614512
1.50063e-06, 0.0606466
1.50031e-06, 0.0598583
1.5e-06, 0.0590858


